,x,y
181,2504.7826078,10480.904684
182,2503.23854,10479.802064
183,2505.3302197,10485.487572
185,2502.6765962,10481.315464
186,2506.2629042,10482.226907999999
187,2505.1435717,10483.989720000001
188,2499.1443938999996,10481.312979999999
189,2500.0483034999997,10480.920048
190,2504.0081296999997,10481.235884
191,2572.3035217,10426.719812
192,2500.9770995,10481.875928000001
193,2504.1222294,10480.716176
194,2499.0540696,10481.51446
195,2502.6301564,10481.039004
196,2500.7461226,10480.938447999999
197,2501.2157423,10481.741608
198,2502.9938978,10479.766552
199,2506.5158788999997,10486.577127999999
200,2502.6578203,10481.420252
201,2505.1742352999995,10481.052803999999
202,2508.6098917,10483.888244
